使用组织	编码	名称	规格型号	描述	物料分组	物料分组编码	数据状态	禁用状态	物料属性	存货类别	基本单位	已使用	当前版本	创建人	采购类别
大成集团	ER03-0084	松下接近开关	GX-108MA		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0001	加密狗	FC7.0-Y64ODBC		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0002	差分转TTL	DIS-0C 2CH 5V  2通道 工作频率 2M 导轨安装 5V电源		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0003	VGA模块	VGA-100HD		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0004	232转485模块			功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0005	温度模块	ARD-4TA		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0006	电源适配器	DC12V 2A电源		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0007	绿联5V电源适配器	20387		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0008	蜂鸣器	AD16-22SM		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0009	红外卤素灯管	HL518-0.8KW/SSG   380V4000W  总长度830MM，半镀金，长度23*11mm，耐温450度工业耐温导线，5000小寿命		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0010	卤素灯灯罩	850*144*40MM		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0011	报警灯	TL-50LLC/rgy23L		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0012	正泰AC30-124插座	AC30-124		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0013	科业排插	KY-9905-5    5位排插/线缆长4.5米		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0014	网卡	TG-3269C		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0015	5口百兆交换机	TP-LINK TL-SF1005+		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0016	红外网络摄像机	DS-2CD3135FD-l 2.8mm		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0017	线路收发器	517-0609		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0018	仪表放大器	806-5522		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0019	电力调整器	T6-5-4-060AT，电源电压380V,电流额定60A，带三相电流侦测		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0020	牛皮纸	牛皮纸，宽度500mm左右，35KG/卷		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0021	键鼠	USB 88键  键盘鼠标		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0022	防尘过滤网	FU9803A		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0023	钨钢单块量块	0级 0.5mm		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0024	钕磁铁	BLS61-A20-B10-T5		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0025	12CM  防尘棉			功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0026	VGA延长器	DT-7044D		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0027	切换器	262KL  KVM切换器二进一出		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
大成集团	ER10-0028	一进四出VGA视频分频器	HV-804W VGA分配器4口（250MHZ）		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
