时间,次数,架号,检测值
2022-11-06 14:42:32.630334,243,4,740
2022-11-06 14:42:32.656345,368,3,1488
2022-11-06 14:42:32.741383,369,3,5958
2022-11-06 14:42:32.814415,244,4,9309
2022-11-06 14:42:32.839427,370,3,10425
2022-11-06 14:42:32.934469,371,3,14892
2022-11-06 14:42:32.999501,245,4,17868
2022-11-06 14:42:33.023509,372,3,18980
2022-11-06 14:42:33.120551,373,3,23444
2022-11-06 14:42:33.191582,246,4,26799
2022-11-06 14:42:33.214593,374,3,27912
2022-11-06 14:42:33.312637,375,3,32383
2022-11-06 14:42:33.379668,247,4,35361
2022-11-06 14:42:33.408679,376,3,36852
2022-11-06 14:42:33.480711,367,1,40140
2022-11-06 14:42:33.497719,377,3,40945
2022-11-06 14:42:33.568751,248,4,44291
2022-11-06 14:42:33.593762,378,3,45405
2022-11-06 14:42:33.688803,379,3,49874
2022-11-06 14:42:33.761835,249,4,53226
2022-11-06 14:42:33.785846,380,3,54343
2022-11-06 14:42:33.874886,381,3,58439
2022-11-06 14:42:33.944916,250,4,61795
2022-11-06 14:42:33.968927,382,3,62909
2022-11-06 14:42:34.066973,383,3,67371
2022-11-06 14:42:34.139003,251,4,70719
2022-11-06 14:42:34.162013,384,3,71834
2022-11-06 14:42:34.186024,254,2,72950
2022-11-06 14:42:34.251052,385,3,75932
2022-11-06 14:42:34.323084,252,4,79287
2022-11-06 14:42:34.347095,386,3,80405
2022-11-06 14:42:34.445138,387,3,84872
2022-11-06 14:42:34.517170,253,4,88228
2022-11-06 14:42:34.539180,388,3,89341
2022-11-06 14:42:34.637224,389,3,93802
2022-11-06 14:42:34.725262,390,3,97901
2022-11-06 14:42:34.820304,391,3,102371
2022-11-06 14:42:34.918350,392,3,106844
2022-11-06 14:42:35.012390,393,3,111312
2022-11-06 14:42:35.118440,394,3,115404
2022-11-06 14:42:35.199473,395,3,119867
2022-11-06 14:42:35.270504,254,4,123220
2022-11-06 14:42:35.294515,396,3,124338
2022-11-06 14:42:35.382554,397,3,128441
2022-11-06 14:42:35.455587,255,4,131792
2022-11-06 14:42:35.478598,398,3,132912
2022-11-06 14:42:35.581642,399,3,137381
2022-11-06 14:42:35.646671,256,4,140732
2022-11-06 14:42:35.673684,400,3,141847
2022-11-06 14:42:35.766724,401,3,146311
2022-11-06 14:42:35.831753,257,4,149297
2022-11-06 14:42:35.855763,402,3,150411
2022-11-06 14:42:35.938802,368,1,154116
2022-11-06 14:42:35.962813,403,3,154882
2022-11-06 14:42:36.017835,19,5,158027
2022-11-06 14:42:36.023838,258,4,158240
2022-11-06 14:42:36.048849,404,3,159356
2022-11-06 14:42:36.144892,405,3,163825
2022-11-06 14:42:36.209920,259,4,166805
2022-11-06 14:42:36.232930,406,3,167917
2022-11-06 14:42:36.330974,407,3,172385
2022-11-06 14:42:36.401005,20,5,175608
2022-11-06 14:42:36.403006,260,4,175743
2022-11-06 14:42:36.418013,21,5,176622
2022-11-06 14:42:36.420013,22,5,176722
2022-11-06 14:42:36.427017,408,3,176867
2022-11-06 14:42:36.427017,23,5,176826
2022-11-06 14:42:36.524060,409,3,181332
2022-11-06 14:42:36.547070,255,2,182450
2022-11-06 14:42:36.587088,261,4,184318
2022-11-06 14:42:36.611099,410,3,185433
2022-11-06 14:42:36.708143,411,3,189902
2022-11-06 14:42:36.779173,262,4,193250
2022-11-06 14:42:36.779173,24,5,193374
2022-11-06 14:42:36.805184,412,3,194368
2022-11-06 14:42:36.805184,25,5,194571
2022-11-06 14:42:36.899226,413,3,198844
2022-11-06 14:42:36.965257,263,4,201825
2022-11-06 14:42:36.998273,414,3,203316
2022-11-06 14:42:37.086309,415,3,207416
2022-11-06 14:42:37.124325,264,4,209280
2022-11-06 14:42:37.173347,26,5,211585
2022-11-06 14:42:37.212366,27,5,212789
2022-11-06 14:42:37.221371,265,4,213749
2022-11-06 14:42:37.235376,416,3,214123
2022-11-06 14:42:37.308407,266,4,217839
2022-11-06 14:42:37.379438,28,5,221158
2022-11-06 14:42:37.404450,267,4,222326
2022-11-06 14:42:37.405450,29,5,222430
2022-11-06 14:42:37.501493,268,4,226796
2022-11-06 14:42:37.509497,417,3,227164
2022-11-06 14:42:37.588532,30,5,230857
2022-11-06 14:42:37.596535,269,4,231272
2022-11-06 14:42:37.621546,31,5,232160
2022-11-06 14:42:37.765610,270,4,239102
2022-11-06 14:42:37.788620,418,3,240220
2022-11-06 14:42:37.942689,271,4,247310
2022-11-06 14:42:38.033729,32,5,251624
2022-11-06 14:42:38.071746,419,3,253286
2022-11-06 14:42:38.117766,272,4,255530
2022-11-06 14:42:38.167788,33,5,257853
2022-11-06 14:42:38.184796,34,5,258638
2022-11-06 14:42:38.190798,35,5,258837
2022-11-06 14:42:38.225815,36,5,260496
2022-11-06 14:42:38.288842,273,4,263374
2022-11-06 14:42:38.350869,420,3,266357
2022-11-06 14:42:38.383884,369,1,267789
2022-11-06 14:42:38.431905,37,5,270087
2022-11-06 14:42:38.471923,274,4,271972
2022-11-06 14:42:38.608984,38,5,278322
2022-11-06 14:42:38.624991,39,5,279213
2022-11-06 14:42:38.630994,40,5,279391
2022-11-06 14:42:38.639998,421,3,279822
2022-11-06 14:42:38.649001,275,4,280197
2022-11-06 14:42:38.721033,41,5,283672
2022-11-06 14:42:38.818076,276,4,288053
2022-11-06 14:42:38.882104,42,5,291233
2022-11-06 14:42:38.891108,43,5,291335
2022-11-06 14:42:38.914119,44,5,292725
2022-11-06 14:42:38.978147,256,2,295529
2022-11-06 14:42:38.994155,277,4,296280
2022-11-06 14:42:39.091197,278,4,300776
2022-11-06 14:42:39.099201,45,5,301371
2022-11-06 14:42:39.114208,46,5,302020
2022-11-06 14:42:39.120210,47,5,302200
2022-11-06 14:42:39.123212,48,5,302386
2022-11-06 14:42:39.161228,422,3,304144
2022-11-06 14:42:39.179236,279,4,304893
2022-11-06 14:42:39.202247,49,5,305919
2022-11-06 14:42:39.219254,50,5,306832
2022-11-06 14:42:39.226257,51,5,307164
2022-11-06 14:42:39.286285,280,4,309387
2022-11-06 14:42:39.370321,281,4,313878
2022-11-06 14:42:39.454358,52,5,317901
2022-11-06 14:42:39.458360,282,4,317994
2022-11-06 14:42:39.477368,53,5,318930
2022-11-06 14:42:39.556404,283,4,322496
2022-11-06 14:42:39.578413,54,5,323727
2022-11-06 14:42:39.596421,55,5,324556
2022-11-06 14:42:39.602424,56,5,324772
2022-11-06 14:42:39.606426,57,5,324925
2022-11-06 14:42:39.634438,58,5,326150
2022-11-06 14:42:39.654447,284,4,327015
2022-11-06 14:42:39.655447,59,5,327170
2022-11-06 14:42:39.693464,423,3,328495
2022-11-06 14:42:39.727480,60,5,330339
2022-11-06 14:42:39.741487,285,4,331118
2022-11-06 14:42:39.742487,61,5,331220
2022-11-06 14:42:39.746488,62,5,331598
2022-11-06 14:42:39.835527,286,4,335617
2022-11-06 14:42:39.937574,287,4,340109
2022-11-06 14:42:39.965585,63,5,341606
2022-11-06 14:42:39.980591,64,5,342518
2022-11-06 14:42:39.982592,65,5,342590
2022-11-06 14:42:39.990596,66,5,342783
2022-11-06 14:42:40.020609,288,4,344238
2022-11-06 14:42:40.044620,67,5,345291
2022-11-06 14:42:40.054624,68,5,345740
2022-11-06 14:42:40.117652,289,4,348733
2022-11-06 14:42:40.151668,69,5,350417
2022-11-06 14:42:40.204691,424,3,352859
2022-11-06 14:42:40.205691,70,5,352757
2022-11-06 14:42:40.213695,290,4,353236
2022-11-06 14:42:40.326747,291,4,357735
2022-11-06 14:42:40.398777,292,4,361853
2022-11-06 14:42:40.439795,71,5,363883
2022-11-06 14:42:40.495820,293,4,366338
2022-11-06 14:42:40.580857,294,4,370464
2022-11-06 14:42:40.615873,72,5,372023
2022-11-06 14:42:40.679901,295,4,374969
2022-11-06 14:42:40.727923,425,3,376845
2022-11-06 14:42:40.776945,296,4,379471
2022-11-06 14:42:40.791951,73,5,380149
2022-11-06 14:42:40.829968,370,1,382023
2022-11-06 14:42:40.871986,297,4,383971
2022-11-06 14:42:40.961026,298,4,388089
2022-11-06 14:42:40.962027,74,5,388195
2022-11-06 14:42:41.055067,299,4,392584
2022-11-06 14:42:41.140109,75,5,396268
2022-11-06 14:42:41.153112,300,4,397090
2022-11-06 14:42:41.240150,426,3,401214
2022-11-06 14:42:41.247153,301,4,401589
2022-11-06 14:42:41.306179,76,5,404384
2022-11-06 14:42:41.338194,302,4,405714
2022-11-06 14:42:41.425232,257,2,409834
2022-11-06 14:42:41.433235,303,4,410213
2022-11-06 14:42:41.481256,77,5,412484
2022-11-06 14:42:41.540283,304,4,414701
2022-11-06 14:42:41.617317,305,4,418827
2022-11-06 14:42:41.652332,78,5,420565
2022-11-06 14:42:41.713359,306,4,423334
2022-11-06 14:42:41.766384,427,3,425583
2022-11-06 14:42:41.811403,307,4,427834
2022-11-06 14:42:41.826409,79,5,428711
2022-11-06 14:42:41.898441,308,4,431954
2022-11-06 14:42:41.995485,309,4,436449
2022-11-06 14:42:42.093529,310,4,440941
2022-11-06 14:42:42.173564,80,5,444589
2022-11-06 14:42:42.181568,311,4,445075
2022-11-06 14:42:42.276609,312,4,449576
2022-11-06 14:42:42.283612,428,3,449945
2022-11-06 14:42:42.374654,313,4,454077
2022-11-06 14:42:42.460691,314,4,458198
2022-11-06 14:42:42.515715,81,5,460749
2022-11-06 14:42:42.558734,315,4,462692
2022-11-06 14:42:42.654779,316,4,467189
2022-11-06 14:42:42.749818,317,4,471693
2022-11-06 14:42:42.806846,429,3,474313
2022-11-06 14:42:42.837857,318,4,475817
2022-11-06 14:42:42.861868,82,5,476917
2022-11-06 14:42:42.932900,319,4,480317
2022-11-06 14:42:43.021940,320,4,484439
2022-11-06 14:42:43.118982,321,4,488930
2022-11-06 14:42:43.210023,83,5,493090
2022-11-06 14:42:43.224029,322,4,493434
2022-11-06 14:42:43.291060,371,1,496396
2022-11-06 14:42:43.312068,323,4,497935
2022-11-06 14:42:43.326074,430,3,498690
2022-11-06 14:42:43.400107,324,4,502062
2022-11-06 14:42:43.497150,325,4,506560
2022-11-06 14:42:43.552174,84,5,509260
2022-11-06 14:42:43.592192,326,4,511055
2022-11-06 14:42:43.616203,431,3,511803
2022-11-06 14:42:43.681232,327,4,515172
2022-11-06 14:42:43.776274,328,4,519682
2022-11-06 14:42:43.874317,329,4,524177
2022-11-06 14:42:43.880320,258,2,524552
2022-11-06 14:42:43.887323,432,3,524930
2022-11-06 14:42:43.906331,85,5,525417
2022-11-06 14:42:43.968359,330,4,528679
2022-11-06 14:42:44.058399,331,4,532801
2022-11-06 14:42:44.153441,332,4,537292
2022-11-06 14:42:44.169448,433,3,538038
2022-11-06 14:42:44.252485,333,4,541416
2022-11-06 14:42:44.253486,86,5,541606
2022-11-06 14:42:44.337522,334,4,545918
2022-11-06 14:42:44.441568,335,4,550421
2022-11-06 14:42:44.451573,434,3,551176
2022-11-06 14:42:44.531608,336,4,554919
2022-11-06 14:42:44.589634,87,5,557801
2022-11-06 14:42:44.618647,337,4,559040
2022-11-06 14:42:44.716691,338,4,563531
2022-11-06 14:42:44.739701,435,3,564280
2022-11-06 14:42:44.814734,339,4,568037
2022-11-06 14:42:44.899771,340,4,572160
2022-11-06 14:42:44.948794,88,5,573989
2022-11-06 14:42:44.957798,89,5,574823
2022-11-06 14:42:44.965802,90,5,575193
2022-11-06 14:42:44.996815,341,4,576666
2022-11-06 14:42:45.019825,436,3,577788
2022-11-06 14:42:45.091857,342,4,581167
2022-11-06 14:42:45.187899,343,4,585657
2022-11-06 14:42:45.276938,344,4,589776
2022-11-06 14:42:45.285943,91,5,590166
2022-11-06 14:42:45.308953,437,3,590901
2022-11-06 14:42:45.309953,92,5,591314
2022-11-06 14:42:45.311954,93,5,591470
2022-11-06 14:42:45.371981,345,4,594277
2022-11-06 14:42:45.462022,346,4,598405
2022-11-06 14:42:45.557063,347,4,602909
2022-11-06 14:42:45.581073,438,3,604027
2022-11-06 14:42:45.630095,94,5,606336
2022-11-06 14:42:45.646102,95,5,607164
2022-11-06 14:42:45.653105,348,4,607411
2022-11-06 14:42:45.654106,96,5,607530
2022-11-06 14:42:45.743147,372,1,611166
2022-11-06 14:42:45.753151,349,4,611897
2022-11-06 14:42:45.838187,350,4,616024
2022-11-06 14:42:45.862198,439,3,617145
2022-11-06 14:42:45.951239,351,4,620525
2022-11-06 14:42:45.977249,97,5,622565
2022-11-06 14:42:45.994257,98,5,623393
2022-11-06 14:42:46.002260,99,5,623766
2022-11-06 14:42:46.014266,100,5,623858
2022-11-06 14:42:46.031273,352,4,625023
2022-11-06 14:42:46.120312,353,4,629150
2022-11-06 14:42:46.161332,440,3,630271
2022-11-06 14:42:46.169335,101,5,631329
2022-11-06 14:42:46.187344,102,5,632341
2022-11-06 14:42:46.193347,103,5,632528
2022-11-06 14:42:46.215355,354,4,633646
2022-11-06 14:42:46.313399,355,4,638139
2022-11-06 14:42:46.328405,259,2,638885
2022-11-06 14:42:46.367422,104,5,640127
2022-11-06 14:42:46.379427,105,5,641331
2022-11-06 14:42:46.400436,356,4,642262
2022-11-06 14:42:46.426448,441,3,643386
2022-11-06 14:42:46.498481,357,4,646766
2022-11-06 14:42:46.546503,106,5,648888
2022-11-06 14:42:46.562510,107,5,649878
2022-11-06 14:42:46.586519,108,5,650099
2022-11-06 14:42:46.595523,358,4,651270
2022-11-06 14:42:46.682561,359,4,655389
2022-11-06 14:42:46.706572,442,3,656518
2022-11-06 14:42:46.730583,109,5,657647
2022-11-06 14:42:46.746590,110,5,658511
2022-11-06 14:42:46.753593,111,5,658840
2022-11-06 14:42:46.797616,360,4,659879
2022-11-06 14:42:46.875647,361,4,664381
2022-11-06 14:42:46.915665,112,5,666406
2022-11-06 14:42:46.938675,113,5,667393
2022-11-06 14:42:46.946678,114,5,667599
2022-11-06 14:42:46.969689,362,4,668883
2022-11-06 14:42:47.005705,443,3,669634
2022-11-06 14:42:47.059729,363,4,673014
2022-11-06 14:42:47.107751,115,5,675147
2022-11-06 14:42:47.122757,116,5,676141
2022-11-06 14:42:47.132761,117,5,676385
2022-11-06 14:42:47.154771,364,4,677514
2022-11-06 14:42:47.266821,444,3,682760
2022-11-06 14:42:47.294834,365,4,683880
2022-11-06 14:42:47.295834,118,5,683910
2022-11-06 14:42:47.317844,119,5,685192
2022-11-06 14:42:47.476914,120,5,692677
2022-11-06 14:42:47.501925,121,5,693666
2022-11-06 14:42:47.550947,445,3,695880
2022-11-06 14:42:47.573957,366,4,697011
2022-11-06 14:42:47.668999,122,5,701436
2022-11-06 14:42:47.686006,123,5,702427
2022-11-06 14:42:47.692009,124,5,702644
2022-11-06 14:42:47.828069,446,3,709003
2022-11-06 14:42:47.853080,367,4,710125
2022-11-06 14:42:47.854081,125,5,710192
