时间,次数,架号,检测值
2022-10-25 17:12:18.315541,1,1,9343781
2022-10-25 17:12:18.315541,1,2,8856887
2022-10-25 17:12:18.316565,1,5,8539031
2022-10-25 17:12:19.186327,2,1,9365583
2022-10-25 17:12:22.708356,3,1,9387383
2022-10-25 17:12:26.228338,4,1,9409186
2022-10-25 17:12:29.755481,5,1,9430990
2022-10-25 17:14:23.782499,6,1,9452767
2022-10-25 17:14:27.218802,7,1,9474569
2022-10-25 17:14:27.385622,2,2,9475636
2022-10-25 17:14:29.379476,3,2,9488293
2022-10-25 17:14:30.656103,8,1,9496373
2022-10-25 17:14:32.819777,4,2,9510095
2022-10-25 17:14:34.084415,9,1,9518125
2022-10-25 17:14:34.517950,10,1,9520868
2022-10-25 17:14:34.611848,11,1,9521477
2022-10-25 17:14:36.257080,5,2,9531895
2022-10-25 17:14:37.962244,12,1,9542722
2022-10-25 17:14:39.691384,6,2,9553698
2022-10-25 17:14:41.407538,13,1,9564574
2022-10-25 17:14:43.138678,7,2,9575552
2022-10-25 17:14:44.844841,14,1,9586374
2022-10-25 17:14:46.567989,8,2,9597303
2022-10-25 17:14:48.284143,15,1,9608179
2022-10-25 17:14:50.006290,9,2,9619103
2022-10-25 17:14:51.745420,16,1,9630133
2022-10-25 17:14:53.441594,10,2,9640907
2022-10-25 17:14:55.182722,17,1,9651935
2022-10-25 17:14:56.878896,11,2,9662711
2022-10-25 17:14:58.627018,18,1,9673787
2022-10-25 17:15:00.318199,12,2,9684512
2022-10-25 17:15:02.064322,19,1,9695592
2022-10-25 17:15:03.756499,13,2,9706313
2022-10-25 17:15:05.501624,20,1,9717394
2022-10-25 17:15:07.193803,14,2,9728118
2022-10-25 17:15:08.938924,21,1,9739194
2022-10-25 17:15:10.622115,15,2,9749869
2022-10-25 17:15:12.378227,22,1,9760998
2022-10-25 17:15:15.813529,23,1,9782801
2022-10-25 17:15:19.254830,24,1,9804602
2022-10-25 17:15:22.691134,25,1,9826403
2022-10-25 17:15:26.135429,26,1,9848208
2022-10-25 17:15:29.564740,27,1,9870009
2022-10-25 17:15:33.004039,28,1,9891810
2022-10-25 17:15:36.440344,29,1,9913613
2022-10-25 17:15:39.884638,30,1,9935468
2022-10-25 17:15:43.321941,31,1,9957269
2022-10-25 17:15:46.759243,32,1,9979070
2022-10-25 17:15:50.198545,33,1,10000874
2022-10-25 17:15:53.635849,34,1,10022677
2022-10-25 17:15:57.095125,35,1,10044630
2022-10-25 17:16:00.536425,36,1,10066431
2022-10-25 17:16:03.973728,37,1,10088236
2022-10-25 17:16:07.409033,38,1,10110038
2022-10-25 17:16:10.846336,39,1,10131840
2022-10-25 17:16:14.290630,40,1,10153692
2022-10-25 17:16:17.729932,41,1,10175497
2022-10-25 17:16:21.168233,42,1,10197298
2022-10-25 17:16:24.627512,43,1,10219252
2022-10-25 17:16:28.065812,44,1,10241055
2022-10-25 17:16:31.502116,45,1,10262858
2022-10-25 17:16:34.940418,46,1,10284659
2022-10-25 17:16:38.376722,47,1,10306460
2022-10-25 17:16:41.814024,48,1,10328265
2022-10-25 17:16:45.261317,49,1,10350067
2022-10-25 17:16:48.688629,50,1,10371868
2022-10-25 17:16:51.599500,1,3,10390318
2022-10-25 17:16:52.129929,51,1,10393671
2022-10-25 17:16:53.161820,2,3,10400228
2022-10-25 17:16:55.580217,52,1,10415576
2022-10-25 17:16:59.029509,53,1,10437429
2022-10-25 17:17:02.465812,54,1,10459230
2022-10-25 17:17:05.920095,55,1,10481084
2022-10-25 17:17:09.347410,56,1,10502887
2022-10-25 17:17:12.782713,57,1,10524688
2022-10-25 17:17:16.223014,58,1,10546489
2022-10-25 17:17:19.666309,59,1,10568344
2022-10-25 17:17:23.103611,60,1,10590147
2022-10-25 17:17:26.542913,61,1,10611947
2022-10-25 17:17:29.981214,62,1,10633750
2022-10-25 17:17:33.415519,63,1,10655554
2022-10-25 17:17:36.855821,64,1,10677356
2022-10-25 17:17:39.477001,1,4,10693976
2022-10-25 17:17:39.620846,2,4,10694891
2022-10-25 17:17:40.293122,65,1,10699157
2022-10-25 17:17:43.728426,66,1,10720960
2022-10-25 17:17:47.166729,67,1,10742764
2022-10-25 17:17:50.607029,68,1,10764564
2022-10-25 17:17:54.043333,69,1,10786365
2022-10-25 17:17:57.481634,70,1,10808170
2022-10-25 17:18:00.917938,71,1,10829972
2022-10-25 17:18:04.355239,72,1,10851773
2022-10-25 17:18:07.800535,73,1,10873626
2022-10-25 17:18:11.229845,74,1,10895380
2022-10-25 17:18:14.665150,75,1,10917181
2022-10-25 17:18:18.103452,76,1,10938982
2022-10-25 17:18:21.180142,3,4,10958501
2022-10-25 17:18:21.540754,77,1,10960786
2022-10-25 17:18:24.978057,78,1,10982589
2022-10-25 17:18:28.415359,79,1,11004390
2022-10-25 17:18:30.715885,3,3,11018974
2022-10-25 17:18:31.852663,80,1,11026191
2022-10-25 17:18:32.710740,4,3,11031632
2022-10-25 17:18:35.290964,81,1,11047995
2022-10-25 17:18:36.152039,5,3,11053434
2022-10-25 17:18:38.728267,82,1,11069797
2022-10-25 17:18:39.586344,6,3,11075234
2022-10-25 17:18:42.189543,83,1,11091751
2022-10-25 17:18:43.024646,7,3,11097038
2022-10-25 17:18:45.629843,84,1,11113553
2022-10-25 17:18:46.461948,8,3,11118842
2022-10-25 17:18:49.072141,85,1,11135408
2022-10-25 17:18:49.898251,9,3,11140642
2022-10-25 17:18:52.512441,86,1,11157211
2022-10-25 17:18:53.335555,10,3,11162444
2022-10-25 17:18:55.949744,87,1,11179010
2022-10-25 17:18:56.774857,11,3,11184248
2022-10-25 17:18:59.387047,88,1,11200814
2022-10-25 17:19:00.212160,12,3,11206050
2022-10-25 17:19:02.822350,89,1,11222617
2022-10-25 17:19:03.657453,13,3,11227901
2022-10-25 17:19:06.262652,90,1,11244418
2022-10-25 17:19:07.086763,14,3,11249653
2022-10-25 17:19:09.701952,91,1,11266220
2022-10-25 17:19:10.524067,15,3,11271457
2022-10-25 17:19:13.153239,92,1,11288126
2022-10-25 17:19:13.960369,16,3,11293208
2022-10-25 17:19:14.387910,17,3,11295953
2022-10-25 17:19:16.591541,93,1,11309929
2022-10-25 17:19:18.591388,4,4,11322632
2022-10-25 17:19:20.026846,94,1,11331728
2022-10-25 17:19:23.463148,95,1,11353531
2022-10-25 17:19:26.901451,96,1,11375335
2022-10-25 17:19:30.338752,97,1,11397137
2022-10-25 17:19:33.777055,98,1,11418938
2022-10-25 17:19:37.213359,99,1,11440741
2022-10-25 17:19:40.650660,100,1,11462544
2022-10-25 17:19:41.933281,18,3,11470676
