时间,次数,架号,检测值
2022-11-12 10:28:07.257851,1,2,182264810
2022-11-12 11:06:24.582122,1,1,443167
2022-11-12 11:06:32.995981,2,1,470885
2022-11-12 11:06:35.923380,2,2,480537
2022-11-12 11:06:36.087764,3,2,481021
2022-11-12 11:06:37.225235,4,2,484831
2022-11-12 11:06:40.814215,5,2,496648
2022-11-12 11:06:41.498120,3,1,498902
2022-11-12 11:06:44.080523,6,2,511998
2022-11-12 11:06:45.685771,4,1,526805
2022-11-12 11:06:45.749699,7,2,527413
2022-11-12 11:06:48.689273,5,1,554550
2022-11-12 11:06:48.986578,8,2,557323
2022-11-12 11:06:51.704949,6,1,582244
2022-11-12 11:06:52.177798,9,2,586688
2022-11-12 11:06:53.812473,10,2,601620
2022-11-12 11:06:54.701346,7,1,609849
2022-11-12 11:06:55.432943,11,2,616511
2022-11-12 11:06:56.680004,8,1,627894
2022-11-12 11:06:57.076750,12,2,631486
2022-11-12 11:06:58.708383,13,2,646465
2022-11-12 11:06:59.871224,9,1,657167
2022-11-12 11:07:01.716956,14,2,674118
2022-11-12 11:07:03.092884,10,1,686766
2022-11-12 11:07:04.755972,15,2,702041
2022-11-12 11:07:06.314544,11,1,716397
2022-11-12 11:07:07.789913,16,2,729922
2022-11-12 11:07:10.783266,17,2,757328
2022-11-12 11:07:12.574205,12,1,773722
2022-11-12 11:07:13.779665,18,2,784790
2022-11-12 11:07:15.935893,19,2,812605
2022-11-12 11:07:17.329071,13,1,830935
2022-11-12 11:07:18.043417,20,2,840229
2022-11-12 11:07:20.176308,21,2,868439
2022-11-12 11:07:21.724735,14,1,888886
2022-11-12 11:07:22.284848,22,2,896234
2022-11-12 11:07:23.653672,15,1,914236
2022-11-12 11:07:24.386285,23,2,923896
2022-11-12 11:07:25.998636,16,1,945167
2022-11-12 11:07:26.495838,24,2,951634
2022-11-12 11:07:28.365921,17,1,976314
2022-11-12 11:07:28.585096,25,2,979367
2022-11-12 11:07:29.579500,26,2,997610
2022-11-12 11:07:30.066552,18,1,1007201
2022-11-12 11:07:31.085309,27,2,1027219
2022-11-12 11:07:32.590102,28,2,1056984
2022-11-12 11:07:33.054834,19,1,1066285
2022-11-12 11:07:34.079677,29,2,1086582
2022-11-12 11:07:35.952806,20,1,1123602
2022-11-12 11:07:36.998956,30,2,1144225
2022-11-12 11:07:39.175479,21,1,1187095
2022-11-12 11:07:39.914178,31,2,1201544
2022-11-12 11:07:42.330170,22,1,1249002
2022-11-12 11:07:42.844622,32,2,1259128
2022-11-12 11:07:44.123140,33,2,1284254
2022-11-12 11:07:45.487904,23,1,1311110
2022-11-12 11:07:45.693888,34,2,1315168
2022-11-12 11:07:47.274784,35,2,1346253
2022-11-12 11:07:48.671006,24,1,1373770
2022-11-12 11:07:48.844520,36,2,1377178
2022-11-12 11:07:51.821638,37,2,1435803
2022-11-12 11:07:51.839902,25,1,1436228
2022-11-12 11:07:54.729758,38,2,1492888
2022-11-12 11:07:54.777450,26,1,1493785
2022-11-12 11:07:56.642460,27,1,1530507
2022-11-12 11:07:57.950403,39,2,1556120
2022-11-12 11:07:58.514574,28,1,1567253
2022-11-12 11:08:00.387704,29,1,1603980
2022-11-12 11:08:01.101034,40,2,1617973
2022-11-12 11:08:02.255759,30,1,1640679
2022-11-12 11:08:04.112652,31,1,1677347
2022-11-12 11:08:04.258770,41,2,1680155
2022-11-12 11:08:05.161848,32,1,1697932
2022-11-12 11:08:06.202926,33,1,1718502
2022-11-12 11:08:07.268358,34,1,1739227
2022-11-12 11:08:07.440856,42,2,1742973
2022-11-12 11:08:08.296245,35,1,1759647
2022-11-12 11:08:09.321088,36,1,1780189
2022-11-12 11:08:10.357092,37,1,1800642
2022-11-12 11:08:10.615840,43,2,1805692
2022-11-12 11:08:11.414406,38,1,1821374
2022-11-12 11:08:12.534630,39,1,1843547
2022-11-12 11:08:13.545268,44,2,1863540
2022-11-12 11:08:13.560488,40,1,1863791
2022-11-12 11:08:14.581273,41,1,1884010
2022-11-12 11:08:15.417383,45,2,1900457
2022-11-12 11:08:15.620322,42,1,1904516
2022-11-12 11:08:16.648209,43,1,1924769
2022-11-12 11:08:17.292541,46,2,1937359
2022-11-12 11:08:17.686243,44,1,1945176
2022-11-12 11:08:18.729351,45,1,1965698
2022-11-12 11:08:19.160597,47,2,1974254
2022-11-12 11:08:19.764341,46,1,1986078
2022-11-12 11:08:20.800346,47,1,2006583
2022-11-12 11:08:21.025608,48,2,2010999
2022-11-12 11:08:21.838380,48,1,2027003
2022-11-12 11:08:22.872355,49,1,2047413
2022-11-12 11:08:22.887575,49,2,2047765
2022-11-12 11:08:23.915463,50,1,2067946
2022-11-12 11:08:23.929669,50,2,2068319
2022-11-12 11:08:24.943350,51,1,2088338
2022-11-12 11:08:24.971762,51,2,2088878
2022-11-12 11:08:25.984428,52,1,2108868
2022-11-12 11:08:26.024002,52,2,2109602
2022-11-12 11:08:27.023477,53,1,2129292
2022-11-12 11:08:27.058992,53,2,2130001
2022-11-12 11:08:28.051365,54,1,2149676
2022-11-12 11:08:28.098040,54,2,2150551
2022-11-12 11:08:29.097516,55,1,2170255
2022-11-12 11:08:29.135062,55,2,2170929
2022-11-12 11:08:30.133521,56,1,2190622
2022-11-12 11:08:30.184257,56,2,2191620
2022-11-12 11:08:31.168511,57,1,2211093
2022-11-12 11:08:31.303465,57,2,2213741
2022-11-12 11:08:32.208574,58,1,2231573
2022-11-12 11:08:32.329323,58,2,2233931
2022-11-12 11:08:33.266902,59,1,2252415
2022-11-12 11:08:33.357210,59,2,2254111
2022-11-12 11:08:34.302907,60,1,2272780
2022-11-12 11:08:34.397274,60,2,2274594
2022-11-12 11:08:35.342972,61,1,2293089
2022-11-12 11:08:35.425161,61,2,2294746
2022-11-12 11:08:36.379992,62,1,2313550
2022-11-12 11:08:36.458123,62,2,2315049
2022-11-12 11:08:37.410921,63,1,2333842
2022-11-12 11:08:37.498186,63,2,2335506
2022-11-12 11:08:38.453015,64,1,2354269
2022-11-12 11:08:38.533176,64,2,2355811
2022-11-12 11:08:39.488005,65,1,2374601
2022-11-12 11:08:39.574254,65,2,2376272
2022-11-12 11:08:40.521982,66,1,2394894
2022-11-12 11:08:40.608229,66,2,2396568
2022-11-12 11:08:41.569147,67,1,2415401
2022-11-12 11:08:41.642205,67,2,2416871
2022-11-12 11:08:42.628491,68,1,2436170
2022-11-12 11:08:42.683283,68,2,2437333
2022-11-12 11:08:43.662465,69,1,2456484
2022-11-12 11:08:43.717258,69,2,2457644
2022-11-12 11:08:44.694411,70,1,2476919
2022-11-12 11:08:44.758337,70,2,2478130
2022-11-12 11:08:45.735489,71,1,2497293
2022-11-12 11:08:45.792312,71,2,2498457
2022-11-12 11:08:46.772510,72,1,2517612
2022-11-12 11:08:46.829331,72,2,2518789
2022-11-12 11:08:47.813587,73,1,2538141
2022-11-12 11:08:47.868380,73,2,2539280
2022-11-12 11:08:48.854666,74,1,2558639
2022-11-12 11:08:48.904385,74,2,2559618
2022-11-12 11:08:49.886611,75,1,2578934
2022-11-12 11:08:49.944449,75,2,2580117
2022-11-12 11:08:50.985527,76,2,2600628
2022-11-12 11:08:51.239201,76,1,2605680
2022-11-12 11:08:52.051973,77,2,2621455
2022-11-12 11:08:52.590778,77,1,2632111
2022-11-12 11:08:53.078845,78,2,2641799
2022-11-12 11:08:53.926116,78,1,2658546
2022-11-12 11:08:54.126012,79,2,2662141
2022-11-12 11:08:55.153899,80,2,2682644
2022-11-12 11:08:55.274648,79,1,2684977
2022-11-12 11:08:56.193962,81,2,2702989
2022-11-12 11:08:56.607958,80,1,2711249
2022-11-12 11:08:57.227938,82,2,2723504
2022-11-12 11:08:57.944313,81,1,2737578
2022-11-12 11:08:58.263943,83,2,2743862
2022-11-12 11:08:59.289800,82,1,2763867
2022-11-12 11:08:59.298933,84,2,2764215
2022-11-12 11:09:00.338996,85,2,2784733
2022-11-12 11:09:00.608905,83,1,2790141
2022-11-12 11:09:01.398339,86,2,2805576
2022-11-12 11:09:01.944245,84,1,2816442
2022-11-12 11:09:02.430285,87,2,2825942
2022-11-12 11:09:03.283645,85,1,2842752
2022-11-12 11:09:03.472378,88,2,2846486
2022-11-12 11:09:04.505339,89,2,2866870
2022-11-12 11:09:04.617970,86,1,2869065
2022-11-12 11:09:05.537285,90,2,2887259
2022-11-12 11:09:05.948236,87,1,2895393
2022-11-12 11:09:06.588510,91,2,2907969
2022-11-12 11:09:07.053241,1,3,2917126
2022-11-12 11:09:07.273430,2,3,2921461
2022-11-12 11:09:07.286621,88,1,2921726
2022-11-12 11:09:07.632633,92,2,2928526
2022-11-12 11:09:07.868044,3,3,2933186
2022-11-12 11:09:08.621268,89,1,2948066
2022-11-12 11:09:08.644208,4,3,2948437
2022-11-12 11:09:08.652187,93,2,2948758
2022-11-12 11:09:09.401242,5,3,2963865
2022-11-12 11:09:09.932866,90,1,2974407
2022-11-12 11:09:09.988718,94,2,2975582
2022-11-12 11:09:10.883394,6,3,2993575
2022-11-12 11:09:11.239470,91,1,3000733
2022-11-12 11:09:11.322254,95,2,3002080
2022-11-12 11:09:12.354573,7,3,3023108
2022-11-12 11:09:12.548071,92,1,3027058
2022-11-12 11:09:12.627865,96,2,3028570
2022-11-12 11:09:13.098641,8,3,3038045
2022-11-12 11:09:13.846700,9,3,3052962
2022-11-12 11:09:13.955416,93,1,3055020
2022-11-12 11:09:13.956414,97,2,3055049
2022-11-12 11:09:14.595753,10,3,3068045
2022-11-12 11:09:15.260028,98,2,3081358
2022-11-12 11:09:15.267010,94,1,3081486
2022-11-12 11:09:15.348799,11,3,3083123
2022-11-12 11:09:16.571623,99,2,3107652
2022-11-12 11:09:16.573617,95,1,3107732
2022-11-12 11:09:16.746170,12,3,3110862
2022-11-12 11:09:17.885214,100,2,3133941
2022-11-12 11:09:17.902171,96,1,3134178
2022-11-12 11:09:18.123593,13,3,3138748
2022-11-12 11:09:19.195808,101,2,3160219
2022-11-12 11:09:19.219746,97,1,3160492
2022-11-12 11:09:19.517972,14,3,3166623
2022-11-12 11:09:20.507402,102,2,3186488
2022-11-12 11:09:20.522364,98,1,3186759
2022-11-12 11:09:20.893403,15,3,3194169
2022-11-12 11:09:21.819994,103,2,3212756
2022-11-12 11:09:21.834955,99,1,3213033
2022-11-12 11:09:22.286782,16,3,3221880
2022-11-12 11:09:23.133583,104,2,3239023
2022-11-12 11:09:23.154528,100,1,3239446
2022-11-12 11:09:23.660215,17,3,3249593
2022-11-12 11:09:24.444179,105,2,3265287
2022-11-12 11:09:24.467120,101,1,3265708
2022-11-12 11:09:25.036641,18,3,3277140
2022-11-12 11:09:25.762755,106,2,3291548
2022-11-12 11:09:25.778714,102,1,3291967
2022-11-12 11:09:26.428028,19,3,3305013
2022-11-12 11:09:27.070360,107,2,3317815
2022-11-12 11:09:27.175088,103,1,3319996
2022-11-12 11:09:27.820412,20,3,3332880
2022-11-12 11:09:28.378962,108,2,3344085
2022-11-12 11:09:28.490672,104,1,3346255
2022-11-12 11:09:29.196838,21,3,3360430
2022-11-12 11:09:29.695545,109,2,3370353
2022-11-12 11:09:29.798276,105,1,3372526
2022-11-12 11:09:30.564287,1,4,3387812
2022-11-12 11:09:30.588225,22,3,3388130
2022-11-12 11:09:30.789702,2,4,3392131
2022-11-12 11:09:31.003147,110,2,3396616
2022-11-12 11:09:31.117850,106,1,3398838
2022-11-12 11:09:31.365207,3,4,3403827
2022-11-12 11:09:31.964653,23,3,3415670
2022-11-12 11:09:32.125234,4,4,3419033
2022-11-12 11:09:32.397526,111,2,3424481
2022-11-12 11:09:32.436425,107,1,3425246
2022-11-12 11:09:32.862319,24,3,3433770
2022-11-12 11:09:32.892242,5,4,3434410
2022-11-12 11:09:33.717100,112,2,3450900
2022-11-12 11:09:33.742035,108,1,3451462
2022-11-12 11:09:34.334497,25,3,3463223
