客户：CATL					设备型号：X-RAY面密度测量仪（1600辊宽O架面密度测量仪,2架）		数量：1套（2台）				
BOM下发时间：					K3物料编码：ER12-0743_v1.0		销售订单号： DCNF2-XX-L1600S-20220221				
序号	组件		品牌	编号	名称	规格	单台	单位	合计	备注	
											
1	"底架组件（0架β）
M01-AJ01-00012A_V1.00"	底价组件	公牛	ER11-0092	10A三角插头	GNT-10 10A	1	个	2		
2			西威联	ER10-0175	框架	昆山西威联  KEL24/15-E	5	个	10		
3			西威联	ER11-1045	西威联穿墙板	KEL-E2	2	个	4		
				ER10-0622	JDG接地排 A-8双层接地端子M4 16位接线铜排	A型8+8接线端子	3	个	6		
4			电源进线盒	ER11-0974	电源盒	AG-1010透明盖一进一出，尺寸 100mm*100mm*75 	1	套	2	 	
	"驱动组件（0架β）
M01-AJ02-00010A_V1.00

"			ER03-0062	光电传感器	EE-SX674 	6	个	12	直线电机原点限位	
6				ER03-0002	光电传感器接头	EE-1001	6	个	12		
10		驱动组件	汇川	ER11-2062	直线电机动子	MAP1-56-185Y1N-301X	2	个	4		
11			汇川	ER11-2063	定子	MALP1-56-288G	14	条	28		
			汇川	ER11-2072	定子	MALP1-56-240G	2	条	4		
				ER03-0641	霍尔传感器	MAP-H-A30	2	个	4	待确定线长	
				ER09-1423	动力线缆	S6-L-M069-3.0 TTS-2	2	条	4	待确定线长	
			RSF	ER11-2073	读头	AK MS15 TTL X 20 ZZP 1 3,0	2	个	4	待确定线长	缺货？
			RSF	ER09-1422	编码器线缆	S6-L-P23A-3.0 TTS-2-H	2	条	4	待确定线长	
			RSF	ER11-2074	光栅尺	MS15  . X  4 MK   2100	2	条	4	2100	
			汇川	EQ06-0084	汇川伺服电机	MS1H3-85B15CB-A331Z	1	个	2		
			汇川	ER09-1342	汇川电机动力线	S6-L-M11-5.0（U,V,W对应线色为黄，绿，红）	0	条	0	20220608设变删除	
			汇川	ER09-0038	汇川电机编码器线	S6-L-P01-5.0	0	条	0	20220608设变删除	
15	"源盒电离室组件
M01-AJ04-00011A_V1.00
"	电离室组件	国产（KX85）	ER03-0142	高精度电离室	W75H85	1	个	2		
16				ER12-0513	前置放大电路电路板(300mCiβ机）	BRSCB_V7_1_1（USF340=10M）	1	块	2	6*12光斑	
17			大成自主研发	ER12-0626	电离室高压板	HVBoard_1DN4_V1.0	1	块	2		
18				ER08-0012	电离室屏蔽电路PCB板		1	块	2		
19				ER15-0256	小米粒pt100  A级	两线制，耐高温四氟护套线，线长2米，头部套热缩管，尾部针型端子	1	个	2		
20			上海上恒	ER10-0588	上海上恒直流滤波器	CW1BL2-3A-L	1	个	2		
21			MORNSUN	EQ05-0031	金升阳开关电源	URA2415LD-20WR3（24V转正负15V）	1	个	2		
24			基恩士	ER03-0139	光纤	FU-35FA	1	个	2	1mm光斑	
25			基恩士	ER03-0150	光纤镜头	F-4HA	1	个	2		
26			基恩士	ER03-0007	光纤传感器	FS-N11N	1	个	2		
			基恩士	ER03-0028	光纤传感器零件	OP-73880	1	个	2		
27			威浦	ER11-1411	威浦10芯航空插头 母头	WS16KZ10	1	个	2		
28			威浦	ER11-7702	10芯航空插头 公头（弯头）	WF16JT10TV	1	个	2		
				ER11-1411	威浦10芯航空插头 母头	WS16KZ10	1	个	2	半导体探测器	
				ER11-7702	10芯航空插头 公头（弯头）	WF16JT10TV	1	个	2		
			欧普士	ER03-0151	红外温度传感器	OPTCSTCLT15 （量程0-150℃，0-3V输出，电缆长度1m，响应时间25ms）	1	个	2		
			松下	ER03-0640	松下位移传感器	HG-C1100	1	个	2		
			威浦	ER11-1658	7芯航空插头 母头	WS16K7ZQF	2	个	4		
			威浦	ER11-0064	7芯航空插头 公头	WS16JT7	2	个	4		
			威浦	ER11-0088	7芯航空插头 母头	WS16KZ7	1	个	2		
			威浦	ER11-7701	7芯航空插头 公头（弯头）	WF16JT7TV	1	个	2		
29		源盒组件	科颐维	ER03-0074	科颐维X射线管	20KV/1mA, 油封，配高压线缆	1	个	2		
30			咸阳威思曼	EQ05-0032	威思曼高压模块	"XRA25P5RS232CA20NAT3系列 
额定电压25KV，额定电流600uA"	1	个	2		
31			威浦	ER11-0090	19芯航空插头 母头	WS24KZ19	1	个	2		
32				ER11-0425	航空插头	WS24K19TS 威浦	1	个	2		
				ER15-0256	小米粒pt100  A级	两线制，耐高温四氟护套线，线长2米，头部套热缩管，尾部针型端子	3	个	6		
36	"外壳组件
M01-AJ10-00011A_V1.00"	面板组件	施耐德	ER01-0015	急停按钮	XB2-BS542C	1	个	2		
				ER01-0015	急停按钮	XB2-BS542C	1	个	2	20220506设变+1	
37				ER01-0003	2位选择开关	ZB2-BD2C	1	个	2		
38				ER01-0004	3位选择开关	ZB2-BD5C	1	个	2		
39				ER01-0089	钥匙开关	钥匙开关 XB2BG21C	1	个	2		
40				ER01-0091	指示灯	指示灯 XB2BVB4LC（LED红灯）	1	个	2		
41				ER01-0007	常闭触点带座	ZB2-BZ102C	1	个	2		
43				ER01-0012	施耐德常开触点带座	ZB2-BZ101C	1	个	2		
44				ER01-0005	常闭触点	ZB2-BE102C	3	个	6	多2个触电以备安全模块	
				ER01-0005	常闭触点	ZB2-BE102C	3		6	20220506设变+3	
45				ER01-0006	常开触点	ZB2-BE101C	2	个	4	2	
46			正泰	ER01-0140	正泰绿色带灯按钮	NP2-BW3361 6V LED	1	个	2		
			施耐德	ER01-0143	施耐德黄色带灯按钮	XB2BW35B1C	1	个	2	复位按钮	
47			施耐德	ER01-0144	施耐德Vario系列负荷开关操作手柄及面板	KCF1PZ	1	个	2		
48			施耐德	ER01-0145	施耐德Vario系列开关本体	开关本体——V1C	1	个	2		
49			天津贝迪	ER11-0560	挂牌	BD-8611常规,75mm*145mm厚0.8mm，锁孔直径8mm	1	个	2		
				ER11-0561	挂锁	BD-8534,不通开万能钥匙，有留匙性，尼龙材质	1	个	2		
50				ER01-0014	急停按钮保护罩	元宝形急停按钮盒保护罩 Φ22mm	2	个	4		
			安士能	ER03-0229 	插片式门开关	安士能 NM03VZA-M（订货号084455）	8	个	16		
				ER11-0089	防水接头	M20*1.5	8	个	16		
			安士能	ER11-0110	门开关插片	BETAETIGER-M-WS (订货号 074129)	8	个	16		
			怡合达	ER11-2172	怡合达-IP55风扇	ZHJ26-120-RD 带停转报警	8	个	16		
52				ER11-0236	风扇网罩	12038风扇网罩	8	个	16		
53				ER10-0385	卡固风扇防水罩	FU-9803 BP3 （灰白色）	10	个	20		
				ER11-0370	航空插头	威浦  WS28KZ26+WS28JT26公母航空插	1	个	2		
				ER15-0256	小米粒pt100  A级	两线制，耐高温四氟护套线，线长2米，头部套热缩管，尾部针型端子	1	个	2	样品片温度	
58			天得	ER10-0116	报警灯	天得   TPFB5-L73-ROG	1	个	2		
59		显示器组件	DELL	EQ07-0231	DELL显示器	E2219HN 21.5英寸	1	个	2		
60				ER09-0384	电源线	显示器电源线3m	1	个	2		
				ER10-0594	IC/M1读卡器	OYM1-R05C	1	个	2	每架增加读卡器	
				ER10-0577	朗恒HDMI延长器	接收端：IPHE-125UART/RX  一对多	1	个	2		
63			绿联	ER09-0572	USB延长线	USB延长线公对母 鼠标键盘延长线 3米 黑 30127	2	条	4		
64			罗技	ER10-7131	罗技有线鼠标	M110,黑色	1	个	2		
65			黑爵	ER10-0458	黑爵AK33-82机械键盘	黑色82键-无光版	1	个	2		
67	"托辊组件（0架β）
M01-AJ05-00011A_V1.00
"	摄像头组件	锐明	ER10-0321	锐明摄像头	FD-HL03A-200W 尾线：RJ45+DC	1	个	2		
			光洋	ER03-0148	光洋编码器（空心轴）	TRD-2TH2000V	1	个	1		
			基恩士	ER03-0003	基恩士光纤传感器FU-11	Keyence FU-11     线长 2米	2	个	4		
			基恩士	ER03-0005	基恩士光纤传感器	Keyence FS-N18N	2		4		
