PID     	进程名                                     	工作目录的绝对路径

0       	System Idle Process                     	未找到该进程工作目录的绝对路径
4       	System                                  	
68      	lsass.exe                               	C:\Windows\System32\lsass.exe
96      	Registry                                	Registry
200     	WXWorkWeb.exe                           	D:\Program Files (x86)\WXWork\4.0.16.6007\WXWorkWeb.exe
236     	ServiceHub.ThreadedWaitDialog.exe       	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.ThreadedWaitDialog.exe
588     	smss.exe                                	C:\Windows\System32\smss.exe
840     	csrss.exe                               	C:\Windows\System32\csrss.exe
948     	wininit.exe                             	C:\Windows\System32\wininit.exe
956     	csrss.exe                               	C:\Windows\System32\csrss.exe
1020    	services.exe                            	C:\Windows\System32\services.exe
1040    	svchost.exe                             	C:\Windows\System32\svchost.exe
1056    	svchost.exe                             	C:\Windows\System32\svchost.exe
1060    	svchost.exe                             	C:\Windows\System32\svchost.exe
1068    	WUDFHost.exe                            	C:\Windows\System32\WUDFHost.exe
1096    	fontdrvhost.exe                         	C:\Windows\System32\fontdrvhost.exe
1196    	svchost.exe                             	C:\Windows\System32\svchost.exe
1204    	svchost.exe                             	C:\Windows\System32\svchost.exe
1256    	WUDFHost.exe                            	C:\Windows\System32\WUDFHost.exe
1296    	svchost.exe                             	C:\Windows\System32\svchost.exe
1316    	svchost.exe                             	C:\Windows\System32\svchost.exe
1348    	WUDFHost.exe                            	C:\Windows\System32\WUDFHost.exe
1448    	winlogon.exe                            	C:\Windows\System32\winlogon.exe
1508    	fontdrvhost.exe                         	C:\Windows\System32\fontdrvhost.exe
1580    	dwm.exe                                 	C:\Windows\System32\dwm.exe
1636    	svchost.exe                             	C:\Windows\System32\svchost.exe
1676    	svchost.exe                             	C:\Windows\System32\svchost.exe
1704    	svchost.exe                             	C:\Windows\System32\svchost.exe
1716    	svchost.exe                             	C:\Windows\System32\svchost.exe
1804    	svchost.exe                             	C:\Windows\System32\svchost.exe
1812    	svchost.exe                             	C:\Windows\System32\svchost.exe
1996    	svchost.exe                             	C:\Windows\System32\svchost.exe
2020    	IntelCpHDCPSvc.exe                      	C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_18893dec345402c3\IntelCpHDCPSvc.exe
2076    	svchost.exe                             	C:\Windows\System32\svchost.exe
2088    	svchost.exe                             	C:\Windows\System32\svchost.exe
2172    	svchost.exe                             	C:\Windows\System32\svchost.exe
2208    	svchost.exe                             	C:\Windows\System32\svchost.exe
2220    	IntelCpHeciSvc.exe                      	C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_18893dec345402c3\IntelCpHeciSvc.exe
2292    	svchost.exe                             	C:\Windows\System32\svchost.exe
2320    	HipsDaemon.exe                          	D:\Program Files (x86)\Huorong\Sysdiag\bin\HipsDaemon.exe
2360    	WXWorkWeb.exe                           	D:\Program Files (x86)\WXWork\4.0.16.6007\WXWorkWeb.exe
2364    	svchost.exe                             	C:\Windows\System32\svchost.exe
2376    	svchost.exe                             	C:\Windows\System32\svchost.exe
2492    	svchost.exe                             	C:\Windows\System32\svchost.exe
2504    	RuntimeBroker.exe                       	C:\Windows\System32\RuntimeBroker.exe
2548    	dasHost.exe                             	C:\Windows\System32\dasHost.exe
2608    	svchost.exe                             	C:\Windows\System32\svchost.exe
2640    	svchost.exe                             	C:\Windows\System32\svchost.exe
2668    	WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe	C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe
2780    	owebuinw.exe                            	C:\Windows\SysWOW64\Ocular3Path\SCClient\bin\owebuinw.exe
2808    	Haozip_2345Upgrade.exe                  	D:\2345Soft\HaoZip\Haozip_2345Upgrade.exe
2868    	svchost.exe                             	C:\Windows\System32\svchost.exe
2880    	GatewaySysTray.exe                      	D:\Inovance Control\AM600\GatewayPLC\GatewaySysTray.exe
2988    	svchost.exe                             	C:\Windows\System32\svchost.exe
3084    	svchost.exe                             	C:\Windows\System32\svchost.exe
3164    	svchost.exe                             	C:\Windows\System32\svchost.exe
3208    	ServiceHub.SettingsHost.exe             	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe
3372    	svchost.exe                             	C:\Windows\System32\svchost.exe
3424    	TcSysUI.exe                             	C:\TwinCAT\3.1\System\TcSysUI.exe
